Torque Z
0.0000
-17.1132
7.7490
8.4932
0.2071
-3.2781
-2.7066
-1.0360
0.5321
1.3222
1.5146
1.3046
0.6528
-0.0401
-0.9717
-1.6495
-2.2453
-2.6327
-2.8796
-3.0925
-3.2990
-3.5364
-3.8534
-4.1935
-4.6891
-5.0787
-5.6754
-6.1156
-6.5733
-6.9773
-7.4033
-7.7921
-7.9518
-8.3695
-8.5691
-8.7547
-8.9469
-9.2004
-9.3884
-9.6022
-9.8171
-10.1049
-10.3411
-10.6740
-10.9729
-11.2705
-11.7496
-11.9673
-12.3939
-12.7774
-13.1251
-13.6086
-13.9899
-14.3329
-14.8351
-15.2650
-15.6311
-16.1157
-16.6231
-16.9534
-17.4247
-17.8001
-18.2403
-18.5250
-18.8929
-19.1874
-19.2521
-19.4958
-19.5538
-19.5393
-19.5577
-19.4708
-19.3901
-19.2412
-19.0136
-18.9950
-18.6066
-18.5438
-18.3180
-18.1359
-18.0327
-17.9160
-17.7966
-17.7348
-17.7872
-17.7908
-17.8111
-17.8985
-18.0184
-18.1443
-18.3186
-18.4219
-18.7623
-18.8220
-19.2057
-19.2835
-19.5651
-19.7857
-19.9361
-20.2212
-20.3674
-20.5457
-20.7106
-20.8811
-20.9404
-21.1082
-21.2064
-21.2566
-21.4243
-21.3744
-21.4977
-21.5141
-21.5212
-21.5993
-21.5921
-21.6937
-21.6057
-21.7464
-21.7030
-21.7235
-20.9708
-21.2241
-21.5934
-21.8124
-21.8384
-21.9478
-21.9327
-22.0859
-22.1360
-22.2134
-22.3042
-22.3849
-22.4918
-22.4349
-22.5846
-22.5079
-22.4592
-22.5947
-22.4612
-22.4451
-22.4219
-22.2670
-22.3031
-22.2052
-22.1092
-22.0088
-21.9529
-21.8134
-21.7237
-21.5774
-21.4164
-21.3766
-21.2048
-21.1189
-20.9986
-20.8846
-20.7602
-20.5929
-20.5548
-20.4151
-20.3317
-20.1400
-20.0578
-19.8909
-19.8589
-15.8427
-1.8730
17.5450
35.0819
48.0836
56.7952
62.0301
64.4262
65.2433
66.6186
68.7508
71.5973
74.4641
77.1766
79.5797
81.6486
83.3006
84.3966
85.2854
86.0227
88.0547
92.0705
94.8343
96.2194
97.8156
100.9562
106.2650
114.3948
125.6325
139.3981
154.8411
171.1616
187.3066
202.9604
217.4555
230.7057
242.6501
253.2919
262.5115
270.4006
277.0443
282.5823
286.9942
290.2467
292.3358
293.1064
292.7770
291.1745
288.6583
285.2286
281.3693
277.1547
272.7995
268.4856
264.5672
260.9839
257.7505
254.8034
252.3352
249.9473
248.0658
246.1247
244.1892
242.5375
240.6095
238.5934
236.4360
234.0369
231.4444
228.6290
225.7967
222.8426
219.9699
217.1957
214.6642
211.8264
209.4422
207.6546
206.4247
206.0835
205.9465
206.2175
207.2985
209.4515
210.7803
209.7943
206.6636
201.6838
196.0961
190.6914
186.0243
182.6538
180.4240
179.0317
178.1614
177.2549
176.0436
174.2777
171.6706
168.7572
165.2577
161.5507
157.6184
153.6399
149.6419
145.3248
141.1631
136.6384
132.2724
127.7746
123.0871
118.0080
113.3792
109.1420
106.1625
104.5478
104.7521
106.9096
110.4541
115.1380
120.3296
125.3093
130.2328
135.4523
140.3089
141.8899
141.4380
140.1946
139.6399
140.2027
141.9366
144.3895
147.1449
149.7007
151.4040
152.4479
152.4568
151.1373
147.4853
143.8123
141.2689
139.9849
139.8279
141.1189
143.3799
143.9869
142.1785
138.3851
133.1410
127.3819
121.5652
